Altium Designer Pick and Place Locations
D:\Circuits\Altium\CurveTracer\FrontBoard\Rev2\Project Outputs for FrontBoardRev2b\Pick Place for FrontBoardRev2b.csv

========================================================================================================================
File Design Information:

Date:       20/07/22
Time:       15:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"C52","1uF","BottomLayer","CAPC2012M","168.1000","117.3000","270"
"C42","100pF","BottomLayer","CAPC2012M","136.7000","141.5000","180"
"C50","1uF","BottomLayer","CAPC2012M","216.6000","146.8000","270"
"C21","1uF","BottomLayer","CAPC2012M","148.4000","138.6000","0"
"C73","100pF","BottomLayer","CAPC2012M","278.8009","149.1399","180"
"C102","1uF","BottomLayer","CAPC2012M","255.9000","107.6000","270"
"C100","1uF","BottomLayer","CAPC2012M","248.8536","111.9518","0"
"C33","10nF","BottomLayer","CAPC2012M","146.3000","128.2000","90"
"C32","1uF","BottomLayer","CAPC2012M","143.3000","128.1000","90"
"C34","1uF","BottomLayer","CAPC2012M","157.1259","131.7247","0"
"C35","10nF","BottomLayer","CAPC2012M","157.1259","128.7247","0"
"C37","10nF","BottomLayer","CAPC2012M","149.5000","123.6000","0"
"C38","1uF","BottomLayer","CAPC2012M","144.6000","123.6000","180"
"C40","1uF","BottomLayer","CAPC2012M","139.0000","126.4329","180"
"C20","2pF","BottomLayer","CAPC2012M","170.3314","129.5460","0"
"C44","1uF","BottomLayer","CAPC2012M","126.9000","137.9000","90"
"C70","10pF","BottomLayer","CAPC2012M","279.1008","136.8399","180"
"C71","100pF","BottomLayer","CAPC2012M","285.1008","135.9399","270"
"C72","10pF","BottomLayer","CAPC2012M","283.5755","108.0599","90"
"C82","1uF","BottomLayer","CAPC2012M","286.3009","145.6399","0"
"C85","NoPop","BottomLayer","CAPC2012M","194.2000","126.2000","0"
"C86","NoPop","BottomLayer","CAPC2012M","218.9567","126.3553","180"
"C5","10nF","BottomLayer","CAPC2012M","110.9780","140.5000","90"
"C4","1uF","BottomLayer","CAPC2012M","108.6668","140.5000","90"
"C3","100pF","BottomLayer","CAPC2012M","125.9000","115.7000","90"
"C12","1uF","BottomLayer","CAPC2012M","102.0063","124.7000","0"
"C17","10nF","BottomLayer","CAPC2012M","121.6000","111.0000","180"
"C74","Cap","BottomLayer","CAPC3225M","281.8436","97.7162","90"
"L70","Inductor","BottomLayer","CAPC3225M","194.8021","122.4575","0"
"L71","Inductor","BottomLayer","CAPC3225M","218.3000","122.4000","180"
"R36","10R0","BottomLayer","RESC2012M","124.4000","135.7000","270"
"R31","100k","BottomLayer","RESC2012M","170.8000","119.3000","270"
"R46","1M","BottomLayer","RESC2012M","191.0000","152.1000","270"
"R68","100","BottomLayer","RESC2012M","216.5000","152.1000","90"
"R88","10K","BottomLayer","RESC2012M","294.4000","114.0000","0"
"R82","100","BottomLayer","RESC2012M","278.8009","152.5399","0"
"R110","1.8K","BottomLayer","RESC2012M","263.4798","105.2212","90"
"R109","1.8K","BottomLayer","RESC2012M","262.1536","99.6519","270"
"R108","453","BottomLayer","RESC2012M","259.5536","99.6519","270"
"R107","200","BottomLayer","RESC2012M","254.2536","99.7519","270"
"R106","95R2","BottomLayer","RESC2012M","250.6536","101.6519","180"
"R104","36R5","BottomLayer","RESC2012M","250.2536","105.1519","180"
"R102","2.05K","BottomLayer","RESC2012M","252.8055","109.4927","90"
"R100","18K","BottomLayer","RESC2012M","248.9000","108.5000","0"
"R84","10K","BottomLayer","RESC2012M","297.2000","120.5000","0"
"R20","49.9K","BottomLayer","RESC2012M","159.9000","119.3000","180"
"R22","100k","BottomLayer","RESC2012M","164.8000","132.2000","0"
"R23","100k","BottomLayer","RESC2012M","170.3314","132.2460","0"
"R26","100k","BottomLayer","RESC2012M","164.8000","129.6000","0"
"R53","2K","BottomLayer","RESC2012M","160.5000","107.3000","0"
"R54","4.99K","BottomLayer","RESC2012M","160.5000","109.9000","180"
"R55","10K","BottomLayer","RESC2012M","160.5000","112.5000","0"
"R56","20K","BottomLayer","RESC2012M","153.9000","117.3000","90"
"R57","49.9K","BottomLayer","RESC2012M","151.3000","117.3000","90"
"R58","100K","BottomLayer","RESC2012M","148.8000","116.7000","90"
"R59","200K","BottomLayer","RESC2012M","143.0500","114.0934","180"
"R60","499K","BottomLayer","RESC2012M","142.0000","111.9000","180"
"R61","1M","BottomLayer","RESC2012M","142.0000","109.5000","180"
"R25","49.9K","BottomLayer","RESC2012M","164.6000","118.7000","180"
"R34","20K","BottomLayer","RESC2012M","140.1000","131.6000","180"
"R35","10K","BottomLayer","RESC2012M","140.0000","129.2000","180"
"R38","20K","BottomLayer","RESC2012M","141.0000","136.3000","0"
"R39","100K","BottomLayer","RESC2012M","136.8000","139.0000","180"
"R40","100K","BottomLayer","RESC2012M","140.9000","140.0000","90"
"R62","20K","BottomLayer","RESC2012M","143.7000","102.3000","270"
"R45","10K","BottomLayer","RESC2012M","143.7000","96.9000","270"
"R63","49.9K","BottomLayer","RESC2012M","146.4000","98.2000","270"
"R64","100K","BottomLayer","RESC2012M","148.9000","98.2000","270"
"R65","200K","BottomLayer","RESC2012M","151.7000","98.0000","270"
"R71","10K","BottomLayer","RESC2012M","274.8000","136.0000","90"
"R89","100k","BottomLayer","RESC2012M","279.6000","108.1000","90"
"R77","10K","BottomLayer","RESC2012M","290.9000","103.2000","90"
"R78","10K","BottomLayer","RESC2012M","289.3000","107.6000","90"
"R3","1K","BottomLayer","RESC2012M","99.6000","100.7000","90"
"R4","20K","BottomLayer","RESC2012M","132.7000","106.0000","90"
"R5","20K","BottomLayer","RESC2012M","129.3000","104.2000","90"
"R6","20K","BottomLayer","RESC2012M","126.7000","109.0000","180"
"R9","10K","BottomLayer","RESC2012M","132.7000","111.2000","90"
"R10","10K","BottomLayer","RESC2012M","129.4538","111.5000","180"
"R8","20K","BottomLayer","RESC2012M","109.9780","115.5427","0"
"R13","10K","BottomLayer","RESC2012M","114.3000","115.4000","90"
"R70","100K","BottomLayer","RESC3216M","279.5000","133.7000","180"
"R90","10R0","BottomLayer","RESC6432BM","272.9750","107.9000","90"
"R86","1R0","BottomLayer","RESC6432BM","298.0500","95.6250","0"
"R80","1R0","BottomLayer","RESC6432BM","289.2000","98.2000","180"
"R81","10R0","BottomLayer","RESC6432BM","274.9000","98.2000","0"
"R50","301","BottomLayer","RESC6432M","161.5000","97.9000","0"
"R51","499","BottomLayer","RESC6432M","162.0000","102.5000","0"
"D21","SMF-15A","BottomLayer","SMF","152.1000","130.3000","270"
"D23","SMF-15A","BottomLayer","SMF","148.8000","128.5000","90"
"D121","BAT54","BottomLayer","SOD123","230.5000","142.7000","180"
"D70","1N4148","BottomLayer","SOD123","284.9000","140.8000","270"
"D120","1N4148","BottomLayer","SOD123","230.5000","140.6000","0"
"U2","HCF4093","BottomLayer","SOIC127P600X14-M","103.4755","118.0827","180"
"U23","OPA209A","BottomLayer","SOIC127P600X168_HS-8N","132.6000","135.3000","180"
"U70","OPA2990","BottomLayer","SOIC127P600X168_HS-8N","280.3009","142.7399","270"
"U71","OPA207A","BottomLayer","SOIC127P600X168_HS-8N","288.2623","114.1959","90"
"U4","OPA2990","BottomLayer","SOIC127P600X168_HS-8N","119.9323","115.0284","180"
"U1","MC14040BDR2G","BottomLayer","SOIC127P600X16-M","120.1990","103.0030","90"
"U25","CNY-17-1S","BottomLayer","SOIC254P1000X6","207.6000","151.6000","180"
"Q20","NPN-2C","BottomLayer","SOT223-4M","138.7000","100.4000","270"
"Q121","2N3904","BottomLayer","SOT23-3M","227.8000","145.3000","180"
"D20","BAV199","BottomLayer","SOT23-3M","160.4000","125.1829","0"
"D22","BAV199","BottomLayer","SOT23-3M","129.0000","141.3000","180"
"D24","BAV199","BottomLayer","SOT23-3M","153.6000","125.7000","0"
"Q22","BSS139","BottomLayer","SOT23-3M","124.4132","142.3000","270"
"U21","TLV9351","BottomLayer","SOT95P300X130-5M","149.0000","135.1250","0"
