Altium Designer Pick and Place Locations
D:\Circuits\Altium\CurveTracer\FrontBoard\Rev2\Project Outputs for FrontBoardRev2b\Pick Place for FrontBoardRev2b.csv

========================================================================================================================
File Design Information:

Date:       20/07/22
Time:       15:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"C8","1uF","TopLayer","CAPC2012M","125.0000","96.9000","270"
"C122","10nF","TopLayer","CAPC2012M","229.5000","151.0000","90"
"C121","1uF","TopLayer","CAPC2012M","232.0000","151.0000","90"
"C120","100pF","TopLayer","CAPC2012M","225.9000","148.8000","180"
"C46","1uF","TopLayer","CAPC2012M","184.8000","146.6000","0"
"C51","10nF","TopLayer","CAPC2012M","162.3805","131.5137","90"
"C22","1uF","TopLayer","CAPC2012M","159.7000","131.5000","90"
"C76","1uF","TopLayer","CAPC2012M","287.4000","120.9000","90"
"C75","10nF","TopLayer","CAPC2012M","290.2866","120.9049","90"
"C7","10nF","TopLayer","CAPC2012M","124.8000","109.1000","180"
"C27","10pF","TopLayer","CAPC2012M","164.6000","118.7000","180"
"C48","1uF","TopLayer","CAPC2012M","130.9000","135.0000","180"
"C24","1uF","TopLayer","CAPC2012M","130.7000","103.1000","0"
"C25","10nF","TopLayer","CAPC2012M","130.8000","100.3750","0"
"C41","NoPop","TopLayer","CAPC2012M","123.5000","136.1000","180"
"C28","1uF","TopLayer","CAPC2012M","173.7000","118.7000","270"
"C29","10nF","TopLayer","CAPC2012M","170.9000","119.2000","270"
"C43","0.1uF","TopLayer","CAPC2012M","149.9042","135.1787","90"
"C49","0.1uF","TopLayer","CAPC2012M","143.7000","139.5000","90"
"C45","10nF","TopLayer","CAPC2012M","126.9000","137.9000","90"
"C47","10nF","TopLayer","CAPC2012M","130.9000","137.7000","180"
"C78","1uF","TopLayer","CAPC2012M","276.1438","143.1460","90"
"C77","10nF","TopLayer","CAPC2012M","278.9009","143.1399","90"
"C80","1uF","TopLayer","CAPC2012M","289.4000","112.9000","270"
"C81","10nF","TopLayer","CAPC2012M","286.5000","112.9000","270"
"C83","10nF","TopLayer","CAPC2012M","286.3009","145.6399","0"
"C87","0.1uF","TopLayer","CAPC2012M","288.5000","108.1000","0"
"C2","1uF","TopLayer","CAPC2012M","129.0000","109.5000","90"
"C1","10nF","TopLayer","CAPC2012M","130.0000","105.9000","0"
"C10","10nF","TopLayer","CAPC2012M","116.0151","136.3489","0"
"C6","1uF","TopLayer","CAPC2012M","116.0000","133.3000","0"
"C13","10nF","TopLayer","CAPC2012M","115.2000","116.7000","270"
"C14","1uF","TopLayer","CAPC2012M","111.5000","117.3000","270"
"C11","10nF","TopLayer","CAPC2012M","102.0000","124.7000","0"
"C16","1uF","TopLayer","CAPC2012M","121.6000","111.2000","180"
"R24","100","TopLayer","RESC2012M","139.5000","102.4000","135"
"R21","100K","TopLayer","RESC2012M","109.7000","145.0000","180"
"R122","49.9K","TopLayer","RESC2012M","236.5000","145.7000","180"
"R121","249K","TopLayer","RESC2012M","222.3000","146.3000","270"
"R120","49.9K","TopLayer","RESC2012M","231.8000","145.4000","90"
"R44","100","TopLayer","RESC2012M","182.5000","150.6000","90"
"R67","1M","TopLayer","RESC2012M","207.6000","153.1000","270"
"R76","10K","TopLayer","RESC2012M","290.9000","103.2000","270"
"R87","4.99K","TopLayer","RESC2012M","270.6008","149.1445","0"
"R75","1K","TopLayer","RESC2012M","278.8009","149.1399","180"
"R79","10K","TopLayer","RESC2012M","278.8009","152.5399","0"
"R83","100","TopLayer","RESC2012M","290.1250","97.9250","0"
"R85","1K","TopLayer","RESC2012M","294.2000","110.8000","90"
"R27","100k","TopLayer","RESC2012M","171.1000","125.5000","270"
"R29","3.32KXXK","TopLayer","RESC2012M","168.6000","132.6000","90"
