Altium Designer Pick and Place Locations
D:\Circuits\Altium\CurveTracer\MainBoard\Rev2\Project Outputs for MainBoardRev2b\Pick Place for MainBoardRev2b.csv

========================================================================================================================
File Design Information:

Date:       17/07/22
Time:       14:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"C118","BottomLayer","CAPC2012M","219.9000","162.5000","180"
"C117","BottomLayer","CAPC2012M","219.9000","165.3000","180"
"C133","BottomLayer","CAPC2012M","259.3000","153.5000","180"
"C132","BottomLayer","CAPC2012M","259.3000","150.5000","180"
"C130","BottomLayer","CAPC2012M","231.6000","161.8000","270"
"C129","BottomLayer","CAPC2012M","228.8000","161.8000","270"
"C128","BottomLayer","CAPC2012M","330.7000","147.6000","180"
"C127","BottomLayer","CAPC2012M","330.7000","150.3000","180"
"C126","BottomLayer","CAPC2012M","263.5460","159.6460","90"
"C125","BottomLayer","CAPC2012M","266.3460","159.6460","90"
"C124","BottomLayer","CAPC2012M","280.3000","150.9000","90"
"C123","BottomLayer","CAPC2012M","283.1000","150.9000","90"
"C120","BottomLayer","CAPC2012M","268.2500","146.0000","270"
"C119","BottomLayer","CAPC2012M","265.4500","146.0000","270"
"C116","BottomLayer","CAPC2012M","284.3000","161.6000","90"
"C115","BottomLayer","CAPC2012M","276.6000","167.8000","270"
"C114","BottomLayer","CAPC2012M","279.5000","167.7000","270"
"C113","BottomLayer","CAPC2012M","295.5000","161.0000","0"
"C112","BottomLayer","CAPC2012M","295.5000","158.1000","0"
"C90","BottomLayer","CAPC2012M","329.0000","138.5000","90"
"C66","BottomLayer","CAPC2012M","219.6500","126.0248","270"
"C65","BottomLayer","CAPC2012M","222.5000","126.0000","270"
"C64","BottomLayer","CAPC2012M","206.2000","149.8000","90"
"C63","BottomLayer","CAPC2012M","209.0000","149.8000","90"
"C60","BottomLayer","CAPC2012M","217.6000","134.5000","90"
"C59","BottomLayer","CAPC2012M","221.6000","133.6000","0"
"C51","BottomLayer","CAPC2012M","206.7000","134.9000","180"
"C50","BottomLayer","CAPC2012M","206.7000","132.1000","180"
"C47","BottomLayer","CAPC2012M","113.2000","152.6000","90"
"C38","BottomLayer","CAPC2012M","107.1000","182.5000","0"
"C34","BottomLayer","CAPC2012M","119.1000","182.9000","180"
"C20","BottomLayer","CAPC2012M","141.2000","171.3000","90"
"C12","BottomLayer","CAPC2012M","175.9000","160.6000","0"
"C106","BottomLayer","CAPC3216M","317.4000","184.5000","270"
"C25","BottomLayer","CAPC3216M","117.3000","202.0000","180"
"C16","BottomLayer","CAPC3216M","135.0000","205.3000","90"
"C7","BottomLayer","CAPC3216M","313.3000","184.5000","90"
"C24","BottomLayer","CAPC4532M","123.4000","206.8000","90"
"C23","BottomLayer","CAPC4532M","131.0000","209.0000","90"
"R2","BottomLayer","RESC2012M","310.4000","150.7000","90"
"R61","BottomLayer","RESC2012M","246.9000","137.6000","90"
"R60","BottomLayer","RESC2012M","220.8000","148.6600","180"
"R50","BottomLayer","RESC2012M","202.3000","125.1000","0"
"R128","BottomLayer","RESC6432BM","245.2000","168.2000","90"
"R16","BottomLayer","RESC6432BM","115.7000","208.9000","180"
"R13","BottomLayer","RESC6432BM","139.3000","208.8000","90"
"R5","BottomLayer","RESC6432BM","323.4000","259.2000","270"
"R4","BottomLayer","RESC6432BM","302.8000","239.5000","270"
"R1","BottomLayer","RESC6432BM","200.6000","226.1000","90"
"R2f","BottomLayer","RESC6432M","318.1000","174.5000","180"
"R2e","BottomLayer","RESC6432M","327.4302","179.0000","270"
"R2d","BottomLayer","RESC6432M","322.3000","184.5000","270"
"R2c","BottomLayer","RESC6432M","322.3000","194.4000","270"
"R2b","BottomLayer","RESC6432M","319.6537","201.8164","0"
"R2a","BottomLayer","RESC6432M","308.0537","201.7164","0"
"D33","BottomLayer","SMA-D","106.7000","190.2000","0"
"D32","BottomLayer","SMA-D","104.6500","176.3595","270"
"D31","BottomLayer","SMA-D","117.9000","190.1000","0"
"D14","BottomLayer","SMA-D","139.2000","167.2000","180"
"D11","BottomLayer","SMA-D","139.4000","177.0000","0"
"D5","BottomLayer","SMA-D","317.2000","223.3000","270"
"D3","BottomLayer","SMA-D","309.4138","211.7677","90"
"D2","BottomLayer","SMA-D","309.1000","181.6000","90"
"D1","BottomLayer","SMA-D","309.1746","191.2322","90"
"D51","BottomLayer","SOD123","221.5000","151.3000","0"
"D40","BottomLayer","SOT23-3M","126.8000","150.7000","0"
