Altium Designer Pick and Place Locations
D:\Circuits\Altium\CurveTracer\MainBoard\Rev2\Project Outputs for MainBoardRev2b\Pick Place for MainBoardRev2b.csv

========================================================================================================================
File Design Information:

Date:       17/07/22
Time:       14:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"C108","TopLayer","CAPC2012M","263.9000","144.1000","0"
"C27","TopLayer","CAPC2012M","165.2000","140.7000","90"
"C22","TopLayer","CAPC2012M","152.2000","141.1000","270"
"C26","TopLayer","CAPC2012M","152.2000","135.6000","90"
"C134","TopLayer","CAPC2012M","231.6000","156.5000","270"
"C109","TopLayer","CAPC2012M","297.0000","150.2000","90"
"C107","TopLayer","CAPC2012M","229.8000","171.5000","0"
"C105","TopLayer","CAPC2012M","301.8519","129.8025","270"
"C58","TopLayer","CAPC2012M","207.8000","152.2000","270"
"C57","TopLayer","CAPC2012M","211.1000","150.0000","270"
"C56","TopLayer","CAPC2012M","219.3000","143.0000","180"
"C55","TopLayer","CAPC2012M","207.8000","136.6000","180"
"C54","TopLayer","CAPC2012M","222.9000","126.3000","0"
"C53","TopLayer","CAPC2012M","224.6000","132.6000","90"
"C52","TopLayer","CAPC2012M","209.2000","126.6000","0"
"C43","TopLayer","CAPC2012M","104.6000","149.1000","0"
"C42","TopLayer","CAPC2012M","107.5000","137.3000","180"
"C41","TopLayer","CAPC2012M","107.5000","140.3000","180"
"C37","TopLayer","CAPC2012M","107.1000","177.3000","90"
"C36","TopLayer","CAPC2012M","109.9000","177.3000","90"
"C33","TopLayer","CAPC2012M","129.9000","174.3000","0"
"C32","TopLayer","CAPC2012M","129.9000","177.4000","0"
"C21","TopLayer","CAPC2012M","153.0000","163.4000","0"
"C18","TopLayer","CAPC2012M","153.0000","166.5000","0"
"C15","TopLayer","CAPC2012M","191.7000","156.4000","0"
"C14","TopLayer","CAPC2012M","191.2000","148.5000","90"
"C13","TopLayer","CAPC2012M","194.0000","148.5000","90"
"C9","TopLayer","CAPC2012M","322.1000","206.9636","270"
"C28","TopLayer","CAPC3216M","311.9000","149.0000","0"
"C104","TopLayer","CAPC3216M","277.3000","191.7000","0"
"U10","TopLayer","D2PAK_M","182.0000","145.7250","270"
"U31","TopLayer","DPAK-M","115.4490","173.2544","180"
"U30","TopLayer","DPAK-M","128.6456","183.5000","270"
"U11","TopLayer","DPAK-M","157.0457","157.5000","270"
"R8","TopLayer","RESC2012M","317.4000","136.6000","90"
"R6","TopLayer","RESC2012M","313.3000","140.9000","180"
"R63","TopLayer","RESC2012M","230.0000","141.3000","0"
"R14","TopLayer","RESC2012M","162.0000","135.7000","90"
"R15","TopLayer","RESC2012M","162.0000","140.7000","90"
"R153","TopLayer","RESC2012M","231.6000","161.8000","270"
"R146","TopLayer","RESC2012M","266.1000","156.9000","0"
"R144","TopLayer","RESC2012M","248.3000","150.3000","270"
"R143","TopLayer","RESC2012M","237.1000","152.0000","0"
"R142","TopLayer","RESC2012M","275.0000","157.4000","270"
"R141","TopLayer","RESC2012M","251.1000","145.7000","90"
"R140","TopLayer","RESC2012M","241.4000","145.7000","90"
"R138","TopLayer","RESC2012M","267.0000","126.1000","180"
"R137","TopLayer","RESC2012M","262.9000","130.0000","270"
"R136","TopLayer","RESC2012M","261.6000","157.2000","270"
"R135","TopLayer","RESC2012M","215.6000","160.5000","270"
"R134","TopLayer","RESC2012M","276.0000","162.5000","180"
"R127","TopLayer","RESC2012M","271.8000","168.7000","90"
"R126","TopLayer","RESC2012M","216.6500","164.1094","0"
"R124","TopLayer","RESC2012M","280.5000","126.1000","180"
"R123","TopLayer","RESC2012M","283.0000","151.6000","180"
"R122","TopLayer","RESC2012M","276.3000","128.0000","90"
"R116","TopLayer","RESC2012M","226.2000","174.2000","90"
"R115","TopLayer","RESC2012M","275.9000","168.5000","180"
"R114","TopLayer","RESC2012M","292.6000","154.7000","0"
"R111","TopLayer","RESC2012M","232.9000","172.5000","90"
"R108","TopLayer","RESC2012M","298.7000","129.8000","270"
